流水号,标题,英文标题,摘要,关键词,特征词,作者,作者单位,学科分类号,出处,ISSN,国内代码,人名主题,内部代码,语种,基金,国省市名,参文数,更新日期,著者文摘,期刊名,出版年,卷,期,页码
"2015289271
","鼓室内注射甲强龙治疗老年突发性耳聋的疗效观察
","
","目的:评估鼓室内注射甲强龙在治疗老年突发性耳聋方面的疗效及安全性。方法:选取发病在1周内的老年(>60岁)突发性耳聋患者107例,随机分成两组,54例作为实验组给予鼓室内注射甲强龙治疗,53例作为对照组未予鼓室内注射,两组同时还给予扩血管改善微循环,营养神经等对症治疗,对患者治疗21d后的纯音听阈测试结果进行疗效评估。结果:鼓室内注射甲强龙对老年突发性耳聋的治愈率及总有效率明显高于对照组,差异具有统计学意义(P<0.05);A组治疗后纯音听阈为(42.56±15.21)dB,B组治疗后纯音阈为(49.64±17.57)dB,比较差异有统计学意义(P<0.05)。结论:鼓室内注射甲强龙治疗老年突发性耳聋患者是安全有效的。
","鼓室内注射;突发性耳聋;老年;甲强龙;听力损失
","老年人;人类;中年人
","李海洲;那学武;朱丽明;李登辉
","锦州市中心医院,辽宁锦州 121000
","R322.922;R764.04;*R764.437;R977.11
","中国医药指南;2015;13(1):180-181
","1671-8194
","11-4856/R
","
","ZG88
","
","
","辽宁
","0
","20151026
","AA
","中国医药指南
","2015
","13
","1
","180-181
"
"2015248862
","甲硝唑与氟哌酸联用方案治疗慢性化脓性中耳炎的临床疗效评价
","
","目的:分析甲硝唑与氟哌酸联用方案治疗慢性化脓性中耳炎的疗效,探讨甲硝唑联合氟哌酸方案治疗中耳炎的价值。方法:49例慢性化脓性中耳炎患者作为观察对象,随机分为观察组74例和对照组75例,观察组采用甲硝唑联合氟哌酸方案治疗,对照组采用青霉素联合氯霉素治疗,跟踪随访,比较两组患者的疗效。结果:治疗后观察组总有效率为94.59%高于对照组70.67%,差异有统计学意义(P<0.05),且两组不良反应发生率差异无统计学意义(P>0.05)。结论:甲硝唑与氟哌酸联用方案能够显著治疗慢性化脓性中耳炎,促进听力改善,值得临床推广。
","甲硝唑;氟哌酸;慢性;化脓性;中耳炎
","人类
","汤永波(1);宋丽华(2)
","(1)瓦房店市中心医院耳鼻喉科,116300; (2)内蒙古民族大学附属医院耳鼻喉科
","R195.1;R764.21;R978.61;R979.19;R983
","中国现代药物应用;2015;9(4):68-69
","1673-9523
","11-5581/R
","
","ZZ14
","
","
","辽宁
","0
","20151026
","AA
","中国现代药物应用
","2015
","9
","4
","68-69
"
"2015582038
","耳内镜下鼓膜置管联合腺样体切除术治疗儿童分泌性中耳炎
","
","目的:分析儿童分泌性中耳炎采用耳内镜下鼓膜置管联合腺样体切除术治疗的临床效果。方法:将我院接诊的儿童分泌性中耳炎患儿50例(94耳)作为研究对象,随机均分为研究组与对照组。其中对照组患儿采用鼓膜置管处理,而研究组在对照组基础上加用腺样体切除术治疗,对比分析两组患儿临床治疗效果。结果:两组患儿纯音听力皆有提高,但组间听阈提高幅度对比差异无统计学意义(P>0.05);研究组患儿在中耳积液时间、复发耳数与感染耳数等方面皆明显低于对照组,组间对比差异有统计学意义(P<0.05)。结论:儿童分泌性中耳炎患儿采取耳内镜下鼓膜置管联合腺样体切除术治疗可以取得比较良好的效果,中耳积液时间明显缩短,同时复发与感染较低,值得借鉴。
","儿童;分泌性中耳炎;耳内镜;鼓膜置管;腺样体切除
","儿童;人类
","楼雪玲
","浙江省义乌市大陈镇中心卫生院五官科,浙江义乌 322011
","R322.921;R725.404.6;*R764;R764.21;R767.91
","药物与人;2014;27(02S):46
","1002-3763
","11-2233/R
","
","YB4
","
","
","浙江
","0
","20151026
","AA
","药物与人
","2014
","27
","02S
","46
"
"2015245291
","耳后注射甲泼尼龙琥珀酸钠辅助治疗突发性聋疗效观察
","
","目的:探讨突发性聋患者辅助耳后注射甲泼尼龙琥珀酸钠的疗效。方法:随机将诊断为突发性聋的50例患者分为两组,进行随机对照试验。对照组使用能量合剂、营养神经药物、扩血管药物、高压氧治疗。治疗组在对照组所用药物基础上加用耳后注射甲泼尼龙琥珀酸。结果:治疗组与对照组患者比较,前者听力改善有效率高于后者,组间差异有统计学意义(P<0.05)。结论:在常规治疗突发性聋方案基础上加用耳后注射甲泼尼龙琥珀酸钠对该疾病的治疗显效。
","突发性耳聋;耳后注射;甲泼尼龙琥珀酸钠
","人类
","詹俊杰;孙佳;张爱华;范宗宪;魏晓丽
","佳木斯大学附属第一医院耳鼻咽喉科,黑龙江佳木斯 154003
","R322.92;R459.6;*R764.437;R977.11
","黑龙江医药科学;2014;37(4):79
","1008-0104
","23-1421/R
","
","J11
","
","
","黑龙江
","0
","20151026
","AA
","黑龙江医药科学
","2014
","37
","4
","79
"
"2015242259
","分泌性中耳炎中耳乳突患者手术护理干预的效果分析
","
","目的:分析手术护理干预对分泌性中耳炎中耳乳突患者临床效果的影响。方法:资料随机选自2013年2月－2014年2月某院收治的108例行手术治疗的分泌性中耳炎中耳乳突患者,按照数字表法随机分为两组,对照组54例患者围手术期予以常规护理,研究组54例患者在对照组基础上予以手术护理干预,分析两组患者治疗后听力恢复及心理改善情况。结果:研究组患者护理干预后心理焦虑情况明显改善,其SAS评分(39.78±6.10)分明显低于对照组(42.57±5.39)分,比较差异具统计学意义(P<0.05);研究组患者治疗后0.5kHz、1.0kHz及2.0kHz语频气导听阈值均明显高于对照组,比较差异均具有统计学意义(P<0.05)。结论:手术护理干预对分泌性中耳炎中耳乳突患者临床影响效果显著,患者心理状态改善的情况下提高手术治疗依从性,对患者听力改善具积极影响。
","分泌性中耳炎中耳乳突;护理干预;效果
","人类
","姜春勤
","广西贵港市人民医院耳鼻喉科,贵港 537100
","R322.922;R339.16;R473.6;*R764.21
","数理医药学杂志;2015;(1):108-109
","1004-4337
","42-1303/R
","
","S59
","
","
","广西
","0
","20151026
","AA
","数理医药学杂志
","2015
","
","1
","108-109
"
"2015240129
","常规护理和辨证施护在突发性耳聋患者护理中的应用价值比较
","
","目的:比较常规护理和辨证施护在突发性耳聋患者护理中应用的方法和效果。方法:选择2011年1月至2012年1月收治的100例突发性耳聋患者,依据随机数字表法分为观察组和对照组,每组50例。对照组患者给予常规护理,观察组患者给予辨证施护。结果:观察组患者听力的痊愈率和治疗总有效率(52.0%、98.0%)均高于对照组(34.0%、78.0%,P均<0.05);观察组患者的自我感觉、治疗信心、治疗依从性、满意度良好率(88.0%、98.0%、92.0%、96.0%)均明显高于对照组(76.0%、80.0%、80.0%、74.0%,P均<0.05);观察组患者的HAMA评分和HAMD评分均明显低于对照组[(12.35±1.86)分vs(21.34±1.42)分,(16.24±1.63)分vs(22.21±1.48)分,P均<0.05]。结论:辨证施护用于突发性耳聋患者的护理其效果显著,优于常规护理。
","常规护理;辨证施护;突发性耳聋
","人类
","梁春菲
","甘肃省酒泉市人民医院耳鼻喉科, 735000
","R248;*R473.76;*R764.437
","中国临床研究;2014;27(8):1018-1019
","1674-8182
","32-1811/R
","
","ZY1
","
","
","甘肃
","0
","20151026
","AA
","中国临床研究
","2014
","27
","8
","1018-1019
"
"2015240098
","听神经瘤切除术术中面神经的保护措施分析
","
","目的:探讨神经电生理监测在听神经瘤切除手术中对面神经保护的效果及应用价值。方法:选择2010年6月至2013年6月治疗的听神经瘤患者56例,随机分为两组。对照组28例采用听神经瘤切除手术治疗,观察组28例实施同样的手术,并在手术中进行神经电生理监测保护面神经,术后随访6个月,观察两组患者听力障碍和面瘫情况。结果:治疗后观察组患者面神经保留率高于对照组(96.43%vs67.86%,P<0.01),面神经分级情况(House-Brackmann评分)优于对照组(P<0.05)。对患者随访6个月后,观察组患者听力障碍改善率(67.86%vs 21.43%)和面瘫症状改善率(50.00%vs 10.71%)均优于对照组(P均<0.01)。结论:听神经瘤切除术中应用神经电生理监测保护面神经可提前发现面神经的位置,有效保护患者面神经,降低术后面瘫发生率。
","听神经瘤切除术;面神经;听力障碍;面瘫;保护
","人类
","李亚明;孙正春;孙双华;马旭东;曹新亮;周兴
","郑州市第一人民医院神经外二科, 450004
","R322.85;R338;R619;*R739.41;R739.43
","中国临床研究;2014;27(8):959-960,962
","1674-8182
","32-1811/R
","
","ZY1
","
","
","河南
","0
","20151026
","AA
","中国临床研究
","2014
","27
","8
","959-960,962
"
"2015237984
","噪声性听力损伤对豚鼠耳蜗Prestin蛋白及mRNA表达水平影响
","Effect of noise-induced hearing loss on expression of Prestin protein and mRNA in cochlear of guinea pigs
","目的:探讨噪声性听力损伤(NIHL)对耳蜗Prestin蛋白表达的影响。方法:无特定病原体级健康雄性豚鼠60只随机分为对照组和85、95、105、115dB声压级(SPL)暴露组5组,除对照组外,其余4组分别予以85、95、105、115dB SPL的高斯白噪声暴露,每天6h,连续28d,暴露前1d和暴露结束后第7天分别进行听性脑干反应测量,噪声暴露结束后第7天,分别进行耳蜗病理学检查、逆转录-聚合酶链反应分析Prestin mRNA表达水平、蛋白免疫印迹法分析Prestin蛋白表达水平。结果:对照组和85、95、105、115dB SPL暴露组的永久性听阈位移(PTS)水平依次为(2.08±0.97)、(7.08±2.79)、(13.33±1.63)、(21.88±1.88)和(27.92±2.34)dB nHL,上述5组PTS水平两两比较,差异均有统计学意义(P<0.05)。病理学检查结果显示115dB SPL暴露组豚鼠耳蜗出现明显毛细胞损伤。上述5组Prestin mRNA的2-ΔΔCt值依次为(1.12±0.39)、(0.98±0.24)、(1.53±0.55)、(2.84±0.51)和(7.65±0.63);105dB SPL暴露组Prestin mRNA的2-ΔΔCt值分别高于对照组及85、95dB SPL暴露组(P<0.05),115dB SPL暴露组Prestin mRNA的2-ΔΔCt值分别高于其余4组(P<0.05)。上述5组Prestin蛋白相对灰度值依次为(0.18±0.07)、(0.20±0.09)、(0.29±0.10)、(0.45±0.19)和(1.19±0.16);105dB SPL暴露组Prestin蛋白相对灰度值分别高于对照组及85、95dB SPL暴露组(P<0.05),115dB SPL暴露组Prestin蛋白相对灰度值分别高于其余4组(P<0.05)。结论:严重的NIHL会导致耳蜗外毛细胞Prestin的表达代偿性增高。
","Prestin蛋白;Prestin;mRNA;噪声性听力损伤;耳蜗
","男(雄)性;豚鼠
","王军义(1,2);邹志辉(1,2);陈晓滨(1);张敏(1);杨翠婵(1);夏源(1,2)
","(1)广东药学院公共卫生学院,广东广州 510310; (2)广东省分子流行病学重点实验室, 510310
","R-332;R126.9;*R135.8;R342.22;R764.302;R764.5
","中国职业医学;2014;41(4):384-388
","1000-6486
","44-1484/R
","
","Z12
","
","广东省职业病防治重点实验室开放课题基金(2012A061400007-01)
","广东
","0
","20151026
","AA
","中国职业医学
","2014
","41
","4
","384-388
"
"2015235242
","腺样体刮除术及鼓室置管术治疗儿童分泌性中耳炎疗效观察
","
","目的:探究分析腺样体刮除术联合鼓室置管术治疗儿童分泌性中耳炎的临床疗效。方法:采用分析的方法对收治的108例(120只患耳)分泌性中耳炎的患儿的临床资料,根据治疗方法的不同,将108例患儿随机分成实验组和对照组,每组各54例,对照组采用单纯鼓室置管术,实验组采用腺样体刮除术联合鼓室置管术。分析对比两组患者的临床治疗有效率及并发症情况。结果:实验组的治疗有效率明显高于对照组(P<0.05),实验组治疗后的听阈较对照组的降低幅度更大(P<0.05),实验组发生鼓膜穿孔、化脓性中耳炎、听力下降等并发症的情况均明显低于对照组(P<0.05)。结论:腺体刮除术联合鼓室置管术治疗儿童分泌性中耳炎的临床疗效好,并发症少,安全可靠,较利于儿童听力的发育。
","分泌性中耳炎;儿童;腺样体刮除术;鼓室置管术;临床疗效观察
","儿童;人类
","苏丹
","个旧市人民医院耳鼻喉科,云南个旧 661000
","R322.92;R339.16;R726.15;*R764.21
","航空航天医学杂志;2014;25(12):1663-1665
","2095-1434
","23-1571/R
","
","H46
","
","
","云南
","0
","20151026
","AA
","航空航天医学杂志
","2014
","25
","12
","1663-1665
"
"2015218812
","中西医结合治疗特发性突聋62例临床观察
","Clinical Efficacy of Combination of Chinese Traditional and Western Medicine on Idiopathic Sudden Sensorineural Hearing Loss:A Clinical Observation of 62 Cases
","目的:观察血栓通联合氢化可的松治疗特发性突聋的临床疗效。方法:选择我院收治的特发性突聋112例,随机分为对照组及治疗组。对照组50例采用基础治疗加用氢化可的松治疗;治疗组62例在对照组治疗基础上予血栓通治疗;治疗7d为1个疗程,观察比较两组间听力改善临床疗效情况。结果:治疗组听力改善总有效率为89.2%,优于对照组的总有效率76.9%;且观察不同病程(<1周、1-2周、2-4周、>4周)治疗组听力改善总有效率均明显优于对照组。结论:血栓通联合氢化可的松治疗特发性突聋有较好疗效。
","特发性突聋;血栓通;中西医结合疗法
","人类
","毛贺娟;蒋蓉;赵倩;颜光堂;程奇;王建洪;肖世强
","宜宾市第一人民医院,四川宜宾 644000
","R282.71;R347.7;*R764.431;R764.437.06;R977.11
","中医药导报;2014;20(7):48-50
","1672-951X
","43-1446/R
","
","H40
","
","
","四川
","0
","20151026
","AA
","中医药导报
","2014
","20
","7
","48-50
"
