流水号,标题,英文标题,摘要,关键词,特征词,作者,作者单位,学科分类号,出处,ISSN,国内代码,人名主题,内部代码,语种,基金,国省市名,参文数,更新日期,著者文摘,期刊名,出版年,卷,期,页码
"2019200100
","灯盏花素注射液眼部雾化联合穴位按摩治疗糖尿病视网膜病变临床观察
","Clinical observation of breviscapine injection atomization combined with acupoint massage in the treatment of diabetic retinopathy
","目的:观察灯盏花素注射液眼部雾化联合穴位按摩治疗糖尿病视网膜病变的临床疗效。方法:将78例糖尿病视网膜病变患者按随机数字表法分为2组。对照组39例予穴位按摩治疗;治疗组39例予穴位按摩联合灯盏花注射液眼部雾化治疗。2组均治疗14d后统计疗效,比较2组治疗后视功能改善情况,包括眼睛干涩评分、视物模糊程度评分及视力提高行数;比较2组治疗前后血清血管内皮生长因子(VEGF)及一氧化氮(NO)水平变化情况;比较2组治疗前后生活质量变化情况,分别使用中文版低视力者生活质量量表(CLVQOL)及2型糖尿病患者生活质量量表(DMQLS)进行评价;比较2组患者治疗满意度情况。结果:治疗组总有效率84.12%,治疗满意度82.05%,对照组总有效率61.53%,治疗满意度51.28%,治疗组总有效率及治疗满意度均高于对照组(P<0.05);治疗组治疗后眼睛干涩评分及视物模糊程度评分均低于对照组(P<0.05),视力提高行数高于对照组(P<0.05),治疗组对视功能各指标改善均优于对照组(P<0.05);与本组治疗前比较,2组治疗后VEGF水平均降低(P<0.05),NO水平均升高(P<0.05),且治疗组对VEGF及NO水平改善优于对照组(P<0.05);与本组治疗前比较,2组治疗后CLVQOL各项评分与总分均增加(P<0.05),DMQLS各项评分与总分均降低(P<0.05),且治疗组对各指标改善均优于对照组(P<0.05)。结论:灯盏花素注射液眼部雾化联合穴位按摩治疗糖尿病视网膜病变可明显提高临床疗效,改善患者视功能,提高生活质量,降低VEGF水平,升高NO水平,延缓糖尿病视网膜病变进程,患者满意度高。
","糖尿病视网膜病变;灯盏细辛;按摩;中医疗法
","人类
","钱立平(1);杨燕(1);余永洁(1);刘学群(1);梁晓平(2)
","(1)安徽省铜陵市立医院内分泌科,安徽铜陵244000; (2)安徽省铜陵市立医院肾内科,安徽铜陵 244000
","R224.2;*R244.1;R322.91;*R774.1;R944.7
","河北中医;2018;40(12):1879-1884
","1002-2619
","13-1067/R
","
","H07
","
","铜陵市2013年度高新类和农社类科技计划项目(编号:2013NS05)
","安徽
","0
","20190520
","AA
","河北中医
","2018
","40
","12
","1879-1884
"
"2019154044
","立体眼罩的设计及在新生儿光照疗法中的应用
","
","目的:探讨自行设计的立体眼罩在新生儿光照疗法中的应用效果。方法:立体眼罩呈中空设计,可避免眼球压迫。内部设有通气孔,具有透气性,边缘及两侧为冷凝胶设计,固定牢靠并减少摘卸时皮肤损伤。选择北京市某三级甲等医院NICU需接受光照疗法治疗的病理性黄疸患儿200例作为研究对象,随机分为实验组和对照组,实验组采用自行设计的立体眼罩,对照组采用传统医用蓝光眼罩,比较两组接受光照疗法12h内眼部皮肤红疹、眼罩松动和眼部分泌物的发生率及两组的舒适度。结果:实验组的眼周红疹、眼罩松动和眼部分泌物的发生率低于对照组,其中眼部分泌物发生率的差异具有统计学意义(P<0.05);实验组舒适度高于对照组,差异有统计学意义(P<0.05)。结论:光照疗法中采用立体眼罩可有效保护患儿眼睛,避免出现局部皮肤红肿、皮疹及眼部分泌物,提高患儿舒适度。
","光照疗法;眼罩;黄疸;新生儿;舒适度
","儿童;人类;婴儿, 新生
","姚欣云;张静;张悦;李雪姣
","解放军总医院新生儿ICU,北京市 100853
","R322.91;R349.2;R454.2;R751
","中华护理杂志;2018;53(12):1514-1515
","0254-1769
","11-2234/R
","
","Z56
","
","
","北京
","6
","20190520
","AA
","中华护理杂志
","2018
","53
","12
","1514-1515
"
"2019109506
","针刺疗法联合拔罐治疗对急性期周围性面瘫患者的疗效评价
","Efficiency of acupuncture combined with cupping therapy in treating patients with acute peripheral facial paralysis
","目的:探讨针刺疗法联合拔罐治疗对周围性面瘫患者的神经功能及面部残疾指数(FDI)的影响。方法:选取周围性面瘫患者136例,随机分为观察组和对照组各68例。对照组采用针刺治疗,观察组在对照组的基础上配合拔罐治疗。比较2组患者治疗前后的神经功能、FDI、生活质量、疗效以及面部神经功能变化。结果:治疗后,观察组的神经功能、FDI评分显著优于对照组(P<0.05);观察组的生理、心理、社会关系、环境和健康状况评分显著优于对照组(P<0.05);观察组总有效率94.11%,显著高于对照组的85.29%(P<0.05);观察组的口角歪斜情况、额纹出现情况、鼻唇沟深浅程度、眼睛闭合情况、面部表情自然程度评分显著优于对照组(P<0.05)。结论:针刺疗法联合拔罐治疗能够改善患者的面部功能障碍、面部残疾程度,提高生活质量。
","针刺疗法;拔罐;周围性面瘫;神经功能;面部残疾指数
","人类
","张婷
","陕西省西安市中医医院针灸科,陕西西安 710021
","R244.3;R246;R323.1;*R745.1;R745.12
","实用临床医药杂志;2018;22(19):63-66
","1672-2353
","32-1697/R
","
","J35
","
","
","陕西
","0
","20190520
","AA
","实用临床医药杂志
","2018
","22
","19
","63-66
"
"2019104857
","白内障超声乳化联合人工晶状体植入术在治疗闭角型青光眼合并白内障患者中的应用
","
","目的:探讨白内障超声乳化联合人工晶状体植入术在治疗闭角型青光眼合并白内障患者中的应用效果。方法:取闭角型青光眼合并白内障患者88例(120只患病眼睛),按照随机分配原则分为两组,实验组和对照组患者各包括60只患病眼睛,实验组患者采用白内障超声乳化摘除联合人工晶状体植入术,对照组患者采用常规白内障超声乳化治疗行小梁切除联合晶状体植入手术,比较两组疗效。结果:两组患者治疗后的视力水平、前房深度均较治疗前明显改善,治疗后实验组患者的视力水平、前房深度显著优于对照组(P<0.05),术后第4天时实验组患者的眼压为15.60±2.48mmHg,与对照组的17.04±2.77mmHg比较有显著差异(P<0.05)。结论:白内障超声乳化摘除联合人工晶状体植入手术的治疗效果较好,值得临床推广应用。
","白内障超声乳化吸除;人工晶状体;闭角型青光眼合并白内障;临床效果
","人类
","任安娜
","北京市平谷区医院眼科,北京 101200
","R775.2;R776.1;R778.3;*R779.6
","中国妇幼健康研究;2017;(S3):95-96
","1673-5293
","61-1448/R
","
","GC3
","
","
","北京
","0
","20190520
","AA
","中国妇幼健康研究
","2017
","
","S3
","95-96
"
"2018606238
","贝复舒眼用凝胶在非头面部手术患者全麻后眼睛保护效果的评价
","The efficacy of recombinant basic fibroblast growth factor eye gel on eye protection for the patients received non-head and face surgery under general anesthesia
","目的:观察非头面部手术患者全麻后应用重组牛碱性成纤维细胞生长因子(贝复舒)眼用凝胶对眼睛保护的效果。方法:选取2017年3月-2018年2月某医院非头面部手术治疗的全麻手术患者215例,随机分为实验组108例和对照组107例。实验组全麻后眼睑结膜囊内均匀涂抹贝复舒眼用凝胶,再用手术贴膜使双眼闭合,并覆盖冷敷眼罩,对照组不使用贝复舒,观察两组患者术后眼部病症发生率,并测定泪膜破裂时间,进行基础泪液分泌试验。结果:实验组5例患者术后出现眼部不适症状(4.63%),对照组17例(15.89%),差异有统计学意义(P<0.05);两组患者术后眼部并发症发生率比较无差异(P>0.05);对照组术后8h、12h泪膜破裂时间较术前缩短(P<0.05),基础泪液分泌量较术前减少(P<0.05),术后24h两组数据较术前比较无统计学意义(P>0.05);对照组在术后8h、12h与实验组相比泪膜破裂时间缩短(P<0.05),基础泪液分泌量减少(P<0.05)。结论:全麻术中应常规进行眼睛保护,使用贝复舒眼用凝胶加手术贴膜的方法可降低患者术后眼部不适症状发生率,并维持泪膜和泪液分泌的稳定性。
","非头面部手术;全身麻醉;贝复舒;效果
","动物;牛;人类
","陈文静
","菏泽市立医院护理部,山东菏泽 274000
","R-332;R322.91;R341.6;R614.2;*R779;R944.15;R977.6
","齐齐哈尔医学院学报;2018;39(12):1447-1449
","1002-1256
","23-1278/R
","
","QA4
","
","
","山东
","0
","20190520
","AA
","齐齐哈尔医学院学报
","2018
","39
","12
","1447-1449
"
"2018584595
","明钼菊抗晶状体氧化损伤的实验研究
","Experimental Research on Mingmuju's Effects of Preventing Oxidative Damage of Crystalline Lens
","目的:观察明钼菊对实验性晶状体的影响,研究其抗氧化损伤作用,并探讨其作用机制。方法:将12只(24眼)新西兰白兔晶状体随机分为对照组、Fenton组、杭白菊组和明钼菊组,每组各3只(6眼)。采用Fenton反应复制兔晶状体氧化损伤模型,在显微镜下观察各组晶状体的混浊程度,用双缩脲法检测可溶性蛋白(soluble protein,SP),羟胺法检测超氧化物歧化酶(superoxidedismutase,SOD),二硫代二硝基苯甲酸法检测谷胱甘肽(glutathione,GSH)和谷胱甘肽过氧化物酶(glutathione peroxi-dase,GSH-Px)。结果:显微镜下显示:明钼菊组、杭白菊组的晶状体混浊程度明显轻于Fenton组。明钼菊组、杭白菊组晶状体中酶性抗氧化剂SOD、GSH-Px的活性和非酶性抗氧化剂GSH的含量明显高于Fenton组,差异具有统计学意义(P <0.05);明钼菊组晶状体中酶性抗氧化剂SOD、GSH-Px的活性和非酶性抗氧化剂GSH的含量明显高于杭白菊组,差异具有统计学意义(P <0.05)。结论:明钼菊能有效抗晶状体氧化损伤,其效用与明钼菊的""钼""含量成正相关,明钼菊通过微量元素""钼""对眼睛的营养而发挥抗晶状体氧化损伤作用。
","明钼菊;钼;晶状体;抗氧化损伤;杭白菊;新西兰白兔
","动物;兔
","程昱
","北京安汀药业研究所,北京 100101
","R-332;R282.71;*R285.5;R322.91;R348.3;R852.15;R916.3
","河南中医;2018;38(9):1357-1359
","1003-5028
","41-1114/R
","
","H57
","
","
","北京
","0
","20190520
","AA
","河南中医
","2018
","38
","9
","1357-1359
"
"2018562772
","""三维一体""疗法治疗青少年近视的疗效研究
","Therapeutic effects of three dimensional integration on juvenile myopia
","目的:观察""三维一体""疗法对青少年近视患者的的临床疗效。方法:选择符合诊断标准的120例青少年近视患者,按照随机、对照的方法,分为治疗组和对照组,分别采用三维一体疗法和珍视明滴眼液治疗,疗程4周。结果:治疗组总有效率为72.27%,对照组总有效率为13.33%,2组疗效比较差异有统计学意义(P<0.05)。治疗组眼睛局部症状及全身症状的改善明显优于对照组(P<0.05),且视力的提高、视野敏感度的改善及视野缺损的修复均优于对照组(P<0.05)。结论:三维一体疗法治疗青少年近视疗效显著,不仅可以明显提高患者的视力,且起效快,安全性好。
","三维一体;近视;疗效
","青少年;人类
","王翠芳(1);刘晓明(2);李娜(1);周红薇(1);柴艳霞(1)
","(1)河北省石家庄市第一医院, 050011; (2)河北省中医院
","R195.1;R339.14;R455;R778.11;*R778.811
","河北医药;2018;40(20):3141-3143,3147
","1002-7386
","13-1090/R
","
","H06
","
","
","河北
","0
","20190520
","AA
","河北医药
","2018
","40
","20
","3141-3143,3147
"
"2018549115
","中药眼部雾化联合穴位按摩对消渴目病病人生活质量的影响
","
","目的:探讨中药眼部雾化联合穴位按摩对消渴目病病人生活质量的影响。方法:将100例消渴目病病人随机分为对照组48例和观察组52例,观察组脱落2例。2组均予活血通络、常规降血糖处理及眼部常规护理。观察组在此基础上实行中药眼部雾化及眼部穴位按摩。每天中药眼部雾化执行1次,每次15－20min,雾化结束后按摩眼部穴位,8－12d为1个疗程。结果:对照组干预前后生活质量和幸福指数评分差异均无统计学意义(P>0.05);观察组干预后生活质量评分低于干预前,而幸福指数评分高于干预前(P<0.01)。通过中药眼部雾化联合穴位按摩能较好改善病人的躯体症状,干预前2组视物模糊和眼睛干涩评分差异无统计学意义(P>0.05),而干预后观察组评分均低于对照组(P<0.05和P<0.01)。干预后观察组满意度较对照组高(Z=-5.80,P<0.01)。结论:中药眼部雾化联合穴位按摩技术具有中医""简便廉""之特点,安全、无创,帮助提高消渴目病病人生活质量及改善临床症状,提高病人满意度;值得临床推广应用。
","糖尿病视网膜病变;消渴目病;中药眼部雾化;穴位按摩;生活质量;幸福指数
","人类
","管玉香;尤琴;张静娴;赵进东;方朝晖;方秀萍
","安徽中医药大学第一附属医院内分泌科,安徽合肥 230031
","R163;R28;R322.91;*R774.1;R944.7
","蚌埠医学院学报;2018;43(8):1091-1094
","1000-2200
","34-1067/R
","
","B15
","
","安徽省卫生和计划生育委员会中医药科研课题(2016ZY79)
","安徽
","0
","20190520
","AA
","蚌埠医学院学报
","2018
","43
","8
","1091-1094
"
"2018475350
","养阴通络方联合西药治疗干燥综合征(阴虚络阻)随机平行对照研究
","Combination of Yangyin Tongluo Fang(养阴通络方) and Western Medicine to Treat Dry Syndrome(Yinxu Luozu/阴虚络阻) Randomized Parallel Control Study
","目的:观察养阴通络方治疗干燥综合征(阴虚络阻)疗效。方法:使用随机平行对照方法,将70例门诊患者按就诊顺序号方法随机分为两组。对照组35例来氟米特,前3d,50mg/次,1次/d,3d后20mg/次,1次/d;白芍总苷,0.6g/次,3次/d。治疗组35例养阴通络方(白茅根30g,太子参、北沙参、南沙参、党参、枸杞子各15g,玄参、玉竹、全蝎、石斛、阿胶各10g,甘草6g),水煎500m L,2次/d,1剂/d,气虚明显加黄芪;瘾疹、皮肤干燥瘙痒加姜黄、露蜂房、乌梅、蝉蜕等;眼睛干涩加石决明、青葙子;关节疼痛加蜈蚣等;西药治疗同对照组。连续治疗2周为1疗程。观测临床症状、中医证候积分、不良反应。连续治疗6疗程(12周),判定疗效。结果:治疗组痊愈11例,显效12例,有效11例,无效1例,总有效率97.14%;对照组痊愈8例,显效10例,有效10例,无效7例,总有效率80.00%;治疗组疗效优于对照组(P<0.05)。证候积分两组均有改善(P<0.01),治疗组改善优于对照组(P<0.01)。不良反应发生率治疗组低于对照组(P<0.05)。结论:养阴通络方治疗干燥综合征(阴虚络阻),疗效满意,无严重不良反应,值得推广。
","干燥综合征;阴虚;燥痹;燥证;阴虚络阻;养阴通络方;来氟米特;白芍总苷胶囊;中医证候积分;中西医结合治疗;中药复方;随机平行对照研究
","对比研究;人类
","赵彦(1);宋林萱(2)
","(1)大连市第二人民医院风湿免疫科,大连 116011; (2)大连医科大学附属第二医院风湿免疫科,大连 116011
","R241.3;R242;R593.22;R777.2;R781.71
","实用中医内科杂志;2018;32(6):34-36
","1671-7813
","21-1187/R
","
","SB8
","
","
","辽宁
","0
","20190520
","AA
","实用中医内科杂志
","2018
","32
","6
","34-36
"
"2018468048
","口服普萘洛尔治疗早产儿视网膜病的疗效与安全性研究
","The efficacy and safety of oral propranolol in the treatment of retinopathy of prematurity
","目的:探讨早产儿视网膜病(retinopathy of prematurity,ROP)患儿口服普萘洛尔治疗前、后血管内皮生长因子(vascular endothelial growth factor,VEGF)和sE-选择素的变化,分析普萘洛尔治疗ROP的安全性和有效性。方法:前瞻性选择2015年8月至2017年8月本院收治的胎龄<32周、经眼底筛查患有2期ROP且无附加病变的早产儿。应用随机分配软件按照1:1比例随机分为普萘洛尔治疗组和对照组,治疗组口服普萘洛尔0.5mg/(kg·d),12h 1次,用药时间持续至视网膜血管完全发育或者出院前,服用时间不超过30d。对照组口服同等剂量安慰剂。分析两组患儿VEGF和sE-选择素的变化及口服普萘洛尔的不良反应发生情况。结果:共纳入84例患儿,其中对照组43例,治疗组41例。治疗组重度ROP发生率明显低于对照组(17.1%比37.2%),需全麻下激光手术治疗的眼睛只数所占比例明显低于对照组(3.7%比12.8%),差异有统计学意义(P<0.05)。治疗组普萘洛尔治疗10d后血清sE-选择素水平显著低于对照组,差异有统计学意义(P<0.001);两组血清VEGF水平差异无统计学意义(P>0.05)。两组患儿均无死亡,普萘洛尔治疗组治疗20d和30d时血钾显著高于对照组[(4.2±0.9) mmol/L比(3.8±0.4) mmol/L,(4.4±0.9) mmol/L比(3.9±0.4) mmol/L],差异有统计学意义(P<0.05),但血钾值均在正常范围。两组其他不良反应发生情况差异无统计学意义(P>0.05)。结论:普萘洛尔治疗ROP可能有一定疗效,口服用药无明显不良反应发生。
","视网膜病,早产儿;普萘洛尔;血管内皮生长因子类;选择素类
","儿童;人类
","孙慧清;李明超;余增渊;邢珊;远孟梦;程萍
","郑州大学附属儿童医院/河南省儿童医院/郑州儿童医院早产儿重症监护室, 450018
","R195.1;R341;R774.1;R972.2;R972.3;R972.4;R977.6
","中华新生儿科杂志;2018;33(4):266-270
","2096-2932
","10-1451/R
","
","XB6
","
","河南省科技厅科技攻关项目(162102310001)
","河南
","0
","20190520
","AA
","中华新生儿科杂志
","2018
","33
","4
","266-270
"
